,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
68,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r25y08g24b21.jpeg,Red\r27y05g22b23.jpeg,25,27,08,05,24,22,21,23,1,-1,0,1,1,0,1,1.657,1.303,0,1.846,2nd time,2nd time
69,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r18y19g14b27.jpeg,Red\r23y30g06b31.jpeg,18,23,19,30,14,06,27,31,1,-1,0,1,1,0,1,2.884,1.246,0,1.685,2nd time,2nd time
70,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r02y19g24b04.jpeg,Red\r09y02g05b02.jpeg,02,09,19,02,24,05,04,02,-1,-1,0,0,1,1,0,1.636,1.68,0,0,2nd time,2nd time
71,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r02y10g14b11.jpeg,Rep\r19y10g06b15.jpeg,02,19,10,10,14,06,11,15,1,1,0,0,1,1,0,1.159,1.47,0,0,2nd time,2nd time
72,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r23y30g06b31.jpeg,Red\r14y12g04b29.jpeg,23,14,30,12,06,04,31,29,1,1,0,0,0,0,0,1.459,1.018,0,0,2nd time,2nd time
73,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r24y08g18b33.jpeg,Red\r10y13g07b36.jpeg,24,10,08,13,18,07,33,36,1,-1,-1,0,1,0,0,1.711,3.007,2.17,0,2nd time,2nd time
74,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r34y26g09b16.jpeg,Red\r17y12g19b18.jpeg,34,17,26,12,09,19,16,18,1,-1,1,0,1,0,1,1.227,2.141,2.652,0,2nd time,2nd time
75,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r40y04g15b01.jpeg,Red\r07y06g08b05.jpeg,40,07,04,06,15,08,01,05,1,-1,-1,0,1,0,0,3.08,2.039,2.165,0,2nd time,2nd time
76,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r17y12g19b18.jpeg,Red\r14y10g15b15.jpeg,17,14,12,10,19,15,18,15,1,1,0,0,0,0,0,1.46,2.54,0,0,2nd time,2nd time
77,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r29y07g26b12.jpeg,Red\r31y29g03b13.jpeg,29,31,07,29,26,03,12,13,1,-1,1,0,1,0,1,2.251,1.547,1.542,0,2nd time,2nd time
78,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r18y13g28b06.jpeg,Red\r17y11g38b07.jpeg,18,17,13,11,28,38,06,07,-1,-1,0,0,0,0,0,3.093,1.723,0,0,2nd time,2nd time
79,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r21y24g16b04.jpeg,Red\r10y03g03b07.jpeg,21,10,24,03,16,03,04,07,1,1,0,0,1,1,0,1.428,1.152,0,0,2nd time,2nd time
80,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r22y35g09b11.jpeg,Rep\r17y11g38b07.jpeg,22,17,35,11,09,38,11,07,1,1,0,0,0,0,0,1.626,2.458,0,0,2nd time,2nd time
81,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r22y02g34b05.jpeg,Red\r35y32g08b08.jpeg,22,35,02,32,34,08,05,08,-1,-1,0,0,0,0,0,1.792,1.989,0,0,2nd time,2nd time
82,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r24y10g05b14.jpeg,Red\r29y07g26b12.jpeg,24,29,10,07,05,26,14,12,1,1,0,0,0,0,0,1.116,2.162,0,0,2nd time,2nd time
83,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r09y15g18b07.jpeg,Rep\r15y05g12b10.jpeg,09,15,15,05,18,12,07,10,-1,-1,0,0,0,0,0,1.561,1.573,0,0,2nd time,2nd time
84,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r22y23g20b06.jpeg,Red\r19y15g35b05.jpeg,22,19,23,15,20,35,06,05,1,1,0,0,0,0,0,1.278,1.822,0,0,2nd time,2nd time
85,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r15y17g24b30.jpeg,Rep\r23y30g06b31.jpeg,15,23,17,30,24,06,30,31,1,-1,0,1,1,0,1,3.395,1.127,0,2.419,2nd time,2nd time
86,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r35y32g08b08.jpeg,Red\r17y20g40b07.jpeg,35,17,32,20,08,40,08,07,1,-1,1,0,0,1,0,1.922,2.35,2.306,0,2nd time,2nd time
87,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r19y10g06b15.jpeg,Red\r26y29g04b11.jpeg,19,26,10,29,06,04,15,11,1,-1,0,1,0,1,0,1.719,1.149,0,1.746,2nd time,2nd time
88,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r24y16g07b40.jpeg,Red\r14y08g21b39.jpeg,24,14,16,08,07,21,40,39,1,1,0,0,0,0,0,1.189,1.217,0,0,2nd time,2nd time
